id,features
130,"[0.5675972700119019, 0.11556507647037506, 0.4504510164260864, 0.08872570097446442, 0.6534415483474731, 0.5608590245246887, 0.4221673309803009, 1.2173914909362793, 0.6469193696975708, 0.20719338953495026]"
140,"[0.33436915278434753, 0.8944091200828552, 0.37319687008857727, 0.9248936772346497, 0.06566604971885681, 0.3628756105899811, 0.2749939262866974, 0.0, 0.27723050117492676, 0.3968563377857208]"
150,"[0.2502408027648926, 0.9468199014663696, 0.10282707959413528, 0.6490103602409363, 0.11772812157869339, 0.7975108623504639, 0.5773821473121643, 0.4853833317756653, 0.0, 0.6233235001564026]"
160,"[0.04652217775583267, 0.8711846470832825, 0.10220862925052643, 0.4800158143043518, 0.20718739926815033, 0.03066842444241047, 0.0, 0.0, 0.374354749917984, 0.6216209530830383]"
170,"[0.2921106219291687, 1.2714911699295044, 0.14807282388210297, 0.49598008394241333, 0.14439797401428223, 0.0, 0.2326999455690384, 0.2518738806247711, 0.5012768507003784, 0.5101778507232666]"
180,"[0.30069032311439514, 0.8282113075256348, 0.19935956597328186, 0.0, 0.1691971719264984, 0.0, 0.6581149101257324, 0.7324647903442383, 0.562767505645752, 0.7856281399726868]"
190,"[0.2891467809677124, 0.0, 0.2795941233634949, 0.6135572791099548, 1.007526159286499, 0.531062126159668, 0.024851368740200996, 0.9551064968109131, 0.20574450492858887, 0.754833996295929]"
200,"[0.26817941665649414, 0.0, 0.34179240465164185, 1.1122967004776, 0.47108858823776245, 0.8766394257545471, 0.0, 0.0, 0.0, 0.7398889064788818]"
210,"[0.4051916003227234, 0.5005576014518738, 0.0, 0.4232921600341797, 0.29006892442703247, 0.41137897968292236, 0.2038753777742386, 0.7631524205207825, 0.4039921760559082, 0.7134616374969482]"
220,"[0.0, 0.20048058032989502, 0.0, 0.0, 0.32994145154953003, 0.2220039814710617, 0.4245959520339966, 0.2052690088748932, 0.3483324348926544, 0.5749220848083496]"
230,"[0.2807976007461548, 0.4005873501300812, 0.6509325504302979, 0.5874890089035034, 0.3761312961578369, 0.6180198192596436, 0.2916528284549713, 0.4611939489841461, 0.1824304461479187, 0.6299698948860168]"
240,"[0.3653545677661896, 0.6634219288825989, 0.10344915837049484, 0.3705364763736725, 0.02007649652659893, 0.15186314284801483, 0.0, 0.0, 0.5962358713150024, 1.3152625560760498]"
250,"[0.0, 0.4980032444000244, 0.0, 1.0126510858535767, 0.0, 0.21876487135887146, 0.5734289288520813, 0.0, 0.45368409156799316, 0.48431718349456787]"
260,"[0.30844077467918396, 0.8935303092002869, 0.0, 0.24624475836753845, 0.08884243667125702, 0.8820807337760925, 0.6287233829498291, 0.950905978679657, 0.0, 0.7730799913406372]"
270,"[0.10182417184114456, 0.7881143689155579, 0.3472975194454193, 1.07789945602417, 0.3628348410129547, 0.41557008028030396, 0.2627747058868408, 0.0, 0.0, 0.2448066771030426]"
280,"[0.553112804889679, 0.7879369854927063, 0.4903447926044464, 0.5606802105903625, 0.22007423639297485, 0.4588673710823059, 0.4734880030155182, 0.30883607268333435, 0.08774447441101074, 0.5478566288948059]"
290,"[0.21510137617588043, 0.31331029534339905, 0.3997524678707123, 0.5194161534309387, 0.3085988163948059, 0.5720725655555725, 1.0726252794265747, 0.7280976176261902, 0.272653192281723, 0.4711538255214691]"
300,"[0.2242627590894699, 0.4238255023956299, 0.4844183623790741, 0.5908059477806091, 0.27441689372062683, 0.6043171882629395, 0.5356497764587402, 0.8573509454727173, 0.09765025228261948, 0.4518936276435852]"
310,"[0.0, 0.3749237358570099, 0.12436092644929886, 0.3657296597957611, 0.20817039906978607, 0.0, 0.5925680994987488, 0.3268422484397888, 1.1915796995162964, 0.26598024368286133]"
320,"[1.3408820629119873, 0.48158448934555054, 0.0, 0.12889638543128967, 0.9209898114204407, 0.4271200895309448, 0.4761079251766205, 0.61331707239151, 0.34139490127563477, 0.07608422636985779]"
330,"[0.0, 0.04452884569764137, 0.6983084082603455, 0.4051489531993866, 0.0, 0.0, 0.3717329502105713, 0.5086273550987244, 0.5658174157142639, 0.9179233908653259]"
340,"[0.7577965259552002, 0.3596419095993042, 0.0, 0.5573055148124695, 0.0, 0.7435256242752075, 0.366479754447937, 0.44471997022628784, 0.1684601753950119, 0.46603137254714966]"
350,"[0.22939532995224, 0.768757164478302, 0.43845102190971375, 0.6959006786346436, 0.1741781383752823, 0.5921640396118164, 0.26061150431632996, 0.1408904492855072, 0.1535438597202301, 0.6524989604949951]"
360,"[0.0, 1.0689013004302979, 0.17976535856723785, 0.646386981010437, 0.37055134773254395, 0.11109709739685059, 0.0, 0.0, 0.2379360944032669, 0.4613282084465027]"
370,"[0.0, 0.5326682329177856, 0.0, 0.1269325166940689, 0.0007483800873160362, 0.2521708607673645, 0.608927845954895, 0.4446857273578644, 0.6290140151977539, 0.8051128387451172]"
380,"[0.08572567254304886, 0.9623297452926636, 0.18864136934280396, 0.48485639691352844, 0.1148456484079361, 0.509175181388855, 0.1833837628364563, 0.5440436601638794, 0.05075080692768097, 0.8175462484359741]"
390,"[0.08405307680368423, 0.0, 0.03684939816594124, 0.5645217895507812, 0.018870029598474503, 0.5531550049781799, 0.6515043377876282, 0.7312784194946289, 0.4785979688167572, 0.9690297842025757]"
410,"[0.0, 0.25956153869628906, 0.06853479892015457, 0.5383104085922241, 0.4785638451576233, 0.21096864342689514, 0.0, 0.8104192614555359, 0.37923604249954224, 0.6725554466247559]"
420,"[0.07812708616256714, 0.9126890301704407, 0.2082219123840332, 0.5073657035827637, 0.0, 0.0, 0.07290062308311462, 0.05700487643480301, 0.4271622598171234, 0.6832238435745239]"
430,"[0.4480495750904083, 0.5108063220977783, 0.0, 0.4651849567890167, 0.02567049115896225, 0.0, 0.0, 0.19232654571533203, 0.6349437832832336, 0.578307569026947]"
440,"[0.09084779769182205, 0.9145748615264893, 0.10848457366228104, 0.7440653443336487, 0.13637548685073853, 0.598290205001831, 0.4392693340778351, 0.6587288975715637, 0.020352831110358238, 0.5339269042015076]"
450,"[0.3944861590862274, 0.8377093076705933, 0.44471728801727295, 0.5644474625587463, 0.030181244015693665, 0.29368892312049866, 0.36410829424858093, 0.14101341366767883, 0.34564071893692017, 0.7798106670379639]"
460,"[0.0, 0.570509135723114, 0.03310806676745415, 1.46128249168396, 0.0, 0.0, 0.0, 0.0, 0.654541015625, 0.24443374574184418]"
470,"[0.0, 0.6153998374938965, 0.11707042157649994, 0.23237688839435577, 0.22337456047534943, 0.019032906740903854, 0.0, 0.0, 0.6229450106620789, 0.6245192885398865]"
480,"[0.05003615841269493, 0.9427371621131897, 0.04806436225771904, 0.4168711304664612, 0.2638227343559265, 0.6058011054992676, 0.33803972601890564, 0.3842828869819641, 0.0, 1.0139212608337402]"
490,"[0.35382938385009766, 0.5625324845314026, 0.32034939527511597, 0.45787379145622253, 0.18754903972148895, 0.5643802285194397, 0.29294511675834656, 0.45963796973228455, 0.04861878603696823, 0.7350280284881592]"
500,"[0.16936202347278595, 0.8212187886238098, 0.3908405601978302, 0.8966767191886902, 0.0, 0.4371599853038788, 0.3907851576805115, 0.23068304359912872, 0.06348641216754913, 0.6489063501358032]"
510,"[0.13132214546203613, 0.24295076727867126, 0.48907819390296936, 0.9009126424789429, 0.3178780674934387, 0.019165676087141037, 0.0, 0.08916871249675751, 0.5656347870826721, 0.7855268716812134]"
520,"[0.19597803056240082, 1.021590232849121, 0.0, 0.38806068897247314, 0.12746748328208923, 0.0, 0.13515862822532654, 0.5130391716957092, 0.6406643390655518, 0.49470916390419006]"
530,"[0.433037668466568, 0.22750256955623627, 0.4392033517360687, 0.3494518995285034, 0.32964858412742615, 0.4449962377548218, 0.3478202521800995, 0.38358423113822937, 0.13107024133205414, 0.35844698548316956]"
540,"[0.7442976832389832, 0.34923887252807617, 0.7149538993835449, 0.35049840807914734, 0.03923295810818672, 0.18010598421096802, 0.0, 0.0, 0.46379539370536804, 0.5423462390899658]"
550,"[0.5996310114860535, 0.3727969229221344, 0.22241249680519104, 0.5876092314720154, 0.0, 0.023845592513680458, 0.4357071816921234, 0.34995904564857483, 0.4225560128688812, 0.9315255880355835]"
560,"[0.21755287051200867, 0.3008113503456116, 0.48553383350372314, 0.365409791469574, 0.26195982098579407, 0.5464633703231812, 0.5622174143791199, 0.6922285556793213, 0.2634696364402771, 0.6045254468917847]"
570,"[1.0082902908325195, 0.06284426152706146, 0.006286798510700464, 1.1147067546844482, 0.01931457221508026, 1.0692397356033325, 0.7447198033332825, 0.1613965779542923, 0.684630274772644, 0.0]"
580,"[0.3613812327384949, 0.4989849627017975, 0.3740706443786621, 0.3247908353805542, 0.26925739645957947, 0.2393953651189804, 0.43129608035087585, 1.1155329942703247, 0.0, 0.19090963900089264]"
590,"[0.4496218264102936, 0.7789005637168884, 0.3254837393760681, 0.6636357307434082, 0.09291065484285355, 0.8005870580673218, 0.657486617565155, 0.24453191459178925, 0.0, 0.655430793762207]"
600,"[0.6049063801765442, 0.4058525562286377, 0.0, 0.4092434346675873, 0.8344431519508362, 0.024296006187796593, 0.0, 0.7673847079277039, 0.26469194889068604, 0.7154020667076111]"
610,"[0.6702548861503601, 0.7542073130607605, 0.0, 0.05538100376725197, 0.2902001142501831, 0.3393811881542206, 0.41221097111701965, 0.5504274964332581, 0.3936886489391327, 0.8206340074539185]"
630,"[0.10774670541286469, 1.2383748292922974, 0.7504398226737976, 0.6356678605079651, 0.0, 0.3427084982395172, 0.0, 0.0, 0.36559736728668213, 0.0]"
640,"[0.4509686827659607, 0.04571926221251488, 0.2952159345149994, 0.5049603581428528, 0.38302645087242126, 0.7036600112915039, 0.0631999745965004, 0.10410090535879135, 0.3634876012802124, 0.8013893961906433]"
650,"[0.30882447957992554, 0.8373312950134277, 0.44247937202453613, 0.9110423922538757, 0.0, 0.4725112318992615, 0.4623124897480011, 0.373742014169693, 0.3571961224079132, 0.2394591122865677]"
660,"[0.012021762318909168, 0.5860508680343628, 0.09147908538579941, 0.2172924429178238, 0.04303152114152908, 0.1294139325618744, 0.35440775752067566, 0.22128687798976898, 0.07859790325164795, 0.30259883403778076]"
670,"[0.2512953281402588, 0.4511937201023102, 0.0, 0.6308280825614929, 0.7780418395996094, 0.8154352307319641, 0.694360613822937, 1.2185006141662598, 0.0, 0.0]"
680,"[0.18124088644981384, 0.0, 0.8262071013450623, 0.14616061747074127, 0.8322601914405823, 0.11308900266885757, 0.47408512234687805, 1.2125513553619385, 0.5327078104019165, 0.21402625739574432]"
690,"[0.04715179279446602, 0.21107107400894165, 0.08379239588975906, 0.16067272424697876, 0.050713151693344116, 0.01729254424571991, 0.010846099816262722, 0.09182687103748322, 0.108709417283535, 0.20447416603565216]"
700,"[0.0, 0.5792840719223022, 0.36460989713668823, 0.6599041819572449, 0.0, 0.06791213899850845, 0.29380279779434204, 1.0207709074020386, 0.42385298013687134, 0.47066012024879456]"
710,"[0.0, 0.8072420954704285, 0.5288364291191101, 0.3274945616722107, 0.07012554258108139, 0.1905135214328766, 0.0, 0.13006849586963654, 0.7933205366134644, 0.43768009543418884]"
720,"[0.433102011680603, 0.5360990166664124, 0.018611928448081017, 0.7040733098983765, 0.18739134073257446, 0.6824449896812439, 0.5018524527549744, 1.2904902696609497, 0.11857488751411438, 0.4571310877799988]"
730,"[0.0, 0.06739573180675507, 0.1519293487071991, 0.021117568016052246, 0.2387491762638092, 0.07302476465702057, 0.043845225125551224, 0.19939126074314117, 0.028342628851532936, 0.11841898411512375]"
750,"[0.31156980991363525, 0.4107796847820282, 0.27199873328208923, 0.31705430150032043, 0.6872355341911316, 0.9355506896972656, 0.6282454133033752, 1.0987402200698853, 0.15153062343597412, 0.469674289226532]"
760,"[0.2990405559539795, 0.22442445158958435, 0.8214974999427795, 0.0, 0.40588411688804626, 1.0313162803649902, 0.8152982592582703, 0.5739787220954895, 0.31071826815605164, 0.29496264457702637]"
780,"[0.258919894695282, 1.3218470811843872, 0.09502246975898743, 0.40072956681251526, 0.034191444516181946, 0.3230791687965393, 0.18150676786899567, 0.2751408815383911, 0.0, 0.7996453642845154]"
790,"[0.2836720049381256, 0.772295355796814, 0.19769802689552307, 0.34620630741119385, 0.08077897131443024, 0.1779097318649292, 0.22881968319416046, 0.3651637136936188, 0.29367974400520325, 0.4912322163581848]"
800,"[0.27608349919319153, 0.42701733112335205, 0.3038526773452759, 0.577342689037323, 0.6078733801841736, 0.8059678077697754, 0.5458309054374695, 0.976800262928009, 0.28251346945762634, 0.2880111336708069]"
810,"[0.0, 0.5466233491897583, 0.16847439110279083, 0.25377365946769714, 0.01305206585675478, 0.132309690117836, 0.1846751570701599, 0.05191098898649216, 0.4841438829898834, 0.14989382028579712]"
820,"[0.7469014525413513, 0.0, 1.032301902770996, 0.0, 0.5486137270927429, 1.153866171836853, 0.0, 0.47382959723472595, 0.0, 0.0]"
830,"[0.15943896770477295, 0.6136536002159119, 0.19352984428405762, 0.9817020297050476, 0.10536482185125351, 0.1927095651626587, 0.07303710281848907, 0.3775561451911926, 0.26994267106056213, 0.530773401260376]"
840,"[0.0, 0.8697908520698547, 0.15445464849472046, 0.8828628063201904, 0.0, 0.0, 0.0, 0.17519137263298035, 0.7597341537475586, 0.3380172848701477]"
850,"[0.5957457423210144, 0.0, 0.22923699021339417, 0.47073718905448914, 0.2934892773628235, 0.25491470098495483, 0.5726760029792786, 1.1016401052474976, 0.8983978629112244, 0.5174854397773743]"
860,"[0.5266129374504089, 0.5168517827987671, 0.0, 0.5898966193199158, 0.35560721158981323, 1.1043344736099243, 0.31889230012893677, 0.5556171536445618, 0.3889123797416687, 0.8155062198638916]"
870,"[0.0, 0.5313390493392944, 0.4324323534965515, 0.14236019551753998, 0.0, 0.39709654450416565, 0.0, 0.16468344628810883, 0.3607008159160614, 0.5486043691635132]"
880,"[0.45669984817504883, 0.2296522706747055, 0.19730494916439056, 0.013487915508449078, 0.5934641361236572, 0.10950365662574768, 0.0, 0.2688639461994171, 0.4925142228603363, 0.7483766078948975]"
900,"[0.06335099041461945, 0.33482977747917175, 0.06023270636796951, 0.9752440452575684, 0.3499579131603241, 0.682500422000885, 0.5837332010269165, 0.6924781203269958, 0.3717382252216339, 0.4393724501132965]"
910,"[0.11480677872896194, 0.3216988444328308, 0.227150559425354, 0.7685043811798096, 0.42743873596191406, 0.9955840706825256, 0.5379577875137329, 0.8611471652984619, 0.18444271385669708, 0.579403817653656]"
920,"[0.24788354337215424, 0.4885157644748688, 0.01578071527183056, 1.1197810173034668, 0.5253157019615173, 0.9866204261779785, 0.3878016471862793, 0.166733980178833, 0.0, 0.7192748785018921]"
930,"[0.1546647548675537, 0.4886578917503357, 0.12653924524784088, 0.6595940589904785, 0.5107820630073547, 1.0419197082519531, 0.4685784876346588, 0.8879674673080444, 0.06439022719860077, 0.5090091228485107]"
940,"[0.0, 0.5470864176750183, 0.030044754967093468, 0.8148474097251892, 0.43004974722862244, 0.7180684804916382, 0.49994736909866333, 0.796119213104248, 0.10592872649431229, 0.5935890674591064]"
950,"[0.1093207448720932, 0.637634813785553, 0.12630143761634827, 0.5554839372634888, 0.5497279763221741, 0.8141522407531738, 0.4253060221672058, 0.9403351545333862, 0.18686001002788544, 0.5828889012336731]"
960,"[1.1919727325439453, 0.0, 0.15349146723747253, 0.2724769115447998, 0.18502302467823029, 0.0, 0.0, 1.4367990493774414, 0.23801900446414948, 1.0513100624084473]"
970,"[0.18498553335666656, 0.36417731642723083, 0.0, 0.6661280989646912, 0.36363890767097473, 0.998867392539978, 0.3446488082408905, 0.6905988454818726, 0.05669457092881203, 0.22683444619178772]"
980,"[0.05346795916557312, 1.660906195640564, 0.0, 0.0, 0.6629988551139832, 0.7155239582061768, 0.4423712193965912, 0.05527038872241974, 0.0, 0.0]"
990,"[0.3306853771209717, 0.795357882976532, 0.5296580791473389, 0.26784706115722656, 0.5005451440811157, 0.1986522376537323, 0.03765436261892319, 0.0, 0.4413202404975891, 0.44860178232192993]"
1000,"[0.5505273342132568, 0.5189027190208435, 0.3740638196468353, 0.7427441477775574, 0.2345406711101532, 0.6640345454216003, 0.595969557762146, 0.21486398577690125, 0.5289528369903564, 0.0]"
1010,"[0.0, 0.5337036848068237, 0.0, 0.6823667883872986, 0.14136624336242676, 0.7755041718482971, 0.08725406974554062, 0.30171558260917664, 0.28001752495765686, 0.8105531930923462]"
1020,"[0.0, 0.8412280082702637, 0.1802847981452942, 0.789917528629303, 0.041336242109537125, 0.4392891824245453, 0.19869562983512878, 0.5066516399383545, 0.18523754179477692, 0.5024638175964355]"
1030,"[0.34115299582481384, 0.313183456659317, 0.1469196379184723, 0.9093706011772156, 0.2052530199289322, 0.23344145715236664, 0.22436147928237915, 0.4316271245479584, 0.25575265288352966, 0.6795754432678223]"
1040,"[0.46587592363357544, 0.3367122709751129, 0.15463505685329437, 0.3277382552623749, 0.44396263360977173, 0.46707504987716675, 0.2689525783061981, 0.6240223050117493, 0.07587871700525284, 0.26784101128578186]"
1050,"[0.41659969091415405, 0.8171052932739258, 0.11236629635095596, 0.31891122460365295, 0.46312206983566284, 0.4909857511520386, 0.05085580796003342, 1.1443748474121094, 0.5189152359962463, 0.4219808578491211]"
1060,"[0.4169856607913971, 0.5383805632591248, 0.39806538820266724, 0.2267395257949829, 0.2667112946510315, 0.5175323486328125, 0.998221218585968, 0.5953206419944763, 0.026421288028359413, 0.7716506719589233]"
1070,"[0.166929692029953, 0.221436008810997, 0.19922859966754913, 0.40261757373809814, 0.32678312063217163, 0.5554711222648621, 0.3683831989765167, 0.6189166903495789, 0.07897122949361801, 0.3320794999599457]"
1080,"[0.21257823705673218, 0.44811081886291504, 0.34892404079437256, 0.16363148391246796, 0.4949871301651001, 0.5214780569076538, 0.5735677480697632, 1.1493844985961914, 0.20603050291538239, 0.6350527405738831]"
1090,"[0.5710055232048035, 0.5320783853530884, 0.28775423765182495, 0.27245667576789856, 0.2635188102722168, 0.7885205745697021, 0.7121058702468872, 0.6415919065475464, 0.005829834379255772, 0.7932844758033752]"
1100,"[0.14607636630535126, 1.0148488283157349, 0.30494219064712524, 0.38879501819610596, 0.0, 0.11145073920488358, 0.31573566794395447, 0.0, 0.2060859650373459, 0.71321040391922]"
1120,"[0.28600022196769714, 0.32834920287132263, 0.4735906422138214, 0.2154969722032547, 0.48254215717315674, 0.4311496615409851, 0.4446256160736084, 0.8658151030540466, 0.2548903226852417, 0.7167225480079651]"
1130,"[0.11665365844964981, 0.2463550865650177, 0.14948563277721405, 0.08904140442609787, 0.5279985070228577, 0.636108934879303, 0.055195651948451996, 0.334098219871521, 0.21267616748809814, 1.216280460357666]"
1150,"[0.3552872836589813, 0.1977863311767578, 0.33560287952423096, 0.8359435200691223, 0.5023717880249023, 0.639598548412323, 0.40351781249046326, 0.8458018898963928, 0.35003194212913513, 0.4091581404209137]"
1160,"[0.0, 0.09045028686523438, 0.054903626441955566, 0.6853615641593933, 0.3024439215660095, 0.7590268850326538, 0.1829725056886673, 0.3945029675960541, 0.23122115433216095, 0.7748817205429077]"
1170,"[0.30383744835853577, 0.24856914579868317, 0.4231952130794525, 0.2830812633037567, 0.322215735912323, 0.0, 0.3171568512916565, 0.29914015531539917, 0.5299386382102966, 0.2575419545173645]"
1180,"[0.0, 0.9728925824165344, 0.11372146755456924, 0.7877322435379028, 0.33111807703971863, 0.4664672911167145, 0.889115035533905, 0.41195791959762573, 0.027599060907959938, 0.7431977987289429]"
1190,"[0.24593843519687653, 0.0, 0.7998427152633667, 0.4488745331764221, 0.4799305200576782, 0.7810684442520142, 0.5529681444168091, 0.8024289011955261, 0.26557591557502747, 0.20054641366004944]"
1200,"[0.318838506937027, 0.5629045367240906, 0.0, 0.13976868987083435, 0.4133142828941345, 0.6285485625267029, 0.4797114431858063, 0.816245436668396, 0.0, 1.1371301412582397]"
1210,"[0.2783471345901489, 1.044036865234375, 0.0, 0.2093629539012909, 0.0, 0.5945385098457336, 0.5137919187545776, 0.7906680703163147, 0.0, 0.8134105205535889]"
1220,"[0.10567302256822586, 0.6647683382034302, 0.06451670080423355, 0.09367386251688004, 0.1427837610244751, 0.6386847496032715, 0.5604929327964783, 0.9487196207046509, 0.30155256390571594, 0.8259443044662476]"
1230,"[0.1692809909582138, 0.10357113927602768, 0.5579769611358643, 0.39525508880615234, 0.5275819301605225, 0.9011806845664978, 0.8401358127593994, 1.036784052848816, 0.13766752183437347, 0.30008894205093384]"
1240,"[0.3243611454963684, 0.7104194164276123, 0.0, 0.2325097918510437, 0.36930105090141296, 0.7875571846961975, 0.3691268563270569, 0.6745802760124207, 0.0, 1.0613319873809814]"
1250,"[0.3231903612613678, 0.6159776449203491, 0.1663026362657547, 0.5146984457969666, 0.4223528802394867, 1.0136017799377441, 0.6709997057914734, 0.669004499912262, 0.03672919422388077, 0.7120354771614075]"
1260,"[0.29163897037506104, 0.17359355092048645, 0.20809823274612427, 0.47073936462402344, 0.9843011498451233, 0.7776321172714233, 0.5891019701957703, 0.9963535666465759, 0.1995493471622467, 0.45765990018844604]"
1270,"[0.0, 0.8090376257896423, 0.056568484753370285, 0.5697638988494873, 0.0, 0.6058636903762817, 0.5634732842445374, 0.6910696029663086, 0.012754615396261215, 0.9132770895957947]"
1280,"[0.386481910943985, 0.34064504504203796, 0.4765785336494446, 0.6527612805366516, 0.3929082453250885, 0.6918913125991821, 0.5773657560348511, 0.9660102128982544, 0.21528707444667816, 0.3734248876571655]"
1290,"[0.4628623127937317, 0.7421678900718689, 0.08230016380548477, 0.6905408501625061, 0.2395923137664795, 0.5568716526031494, 0.17777113616466522, 0.5508238077163696, 0.32031434774398804, 0.5377115607261658]"
1300,"[0.41333073377609253, 0.25404977798461914, 0.2196669578552246, 0.5158652663230896, 0.4678645133972168, 0.8808138966560364, 0.7464897632598877, 0.9064799547195435, 0.27192217111587524, 0.3253471553325653]"
1310,"[0.6661034226417542, 0.18123765289783478, 0.004121654666960239, 0.3195332884788513, 0.8570203185081482, 0.0, 0.6464512348175049, 0.9776161909103394, 0.0, 0.684510350227356]"
1320,"[0.610410213470459, 0.7042361497879028, 0.3286483883857727, 0.1991175264120102, 0.4760311543941498, 0.37381136417388916, 0.0, 0.3534974753856659, 0.310773104429245, 0.6349396109580994]"
1330,"[0.2753010094165802, 0.35303133726119995, 0.14999860525131226, 0.5702229738235474, 0.0, 0.18238849937915802, 0.182955801486969, 0.19327950477600098, 0.7548104524612427, 0.9852199554443359]"
1340,"[0.08244559168815613, 0.05993827059864998, 0.0, 0.7565174102783203, 0.6518847942352295, 0.755084216594696, 0.20579935610294342, 1.0524295568466187, 0.0, 0.7837197780609131]"
1350,"[0.530518651008606, 0.189387708902359, 0.1566440910100937, 0.1678539365530014, 0.35574623942375183, 0.597133219242096, 0.48253685235977173, 0.5078083276748657, 0.06962741166353226, 1.183185338973999]"
1370,"[0.11755726486444473, 1.0580488443374634, 0.1913415640592575, 0.33030813932418823, 0.12396079301834106, 0.47249534726142883, 0.2826233506202698, 0.3446862995624542, 0.11651415377855301, 0.8531306982040405]"
1380,"[0.021438250318169594, 0.6180635094642639, 0.17780713737010956, 1.0178271532058716, 0.0, 0.5002936124801636, 0.6067941188812256, 0.2827709913253784, 0.2780698537826538, 0.6920435428619385]"
1390,"[0.0, 0.8488696217536926, 0.4019470512866974, 0.6106520891189575, 0.11110705882310867, 0.0, 0.28182491660118103, 0.6681616306304932, 0.0, 0.6628707051277161]"
1410,"[0.3368277847766876, 0.7327079772949219, 0.8380292057991028, 0.9820850491523743, 0.2434169203042984, 0.0, 0.2124549150466919, 0.3354448080062866, 0.25374385714530945, 0.02182862162590027]"
1420,"[0.0, 0.3661975860595703, 0.0, 0.0, 1.0673083066940308, 0.626431941986084, 0.6577863693237305, 0.9341299533843994, 0.0, 0.9681009650230408]"
1430,"[0.03753546625375748, 0.12732566893100739, 0.0756431594491005, 0.08348719775676727, 0.052190233021974564, 0.11224605143070221, 0.11180979013442993, 0.18335628509521484, 0.029623232781887054, 0.1574101746082306]"
1440,"[0.40785256028175354, 0.33701539039611816, 0.2976890206336975, 0.5888861417770386, 0.6849014163017273, 0.31893959641456604, 0.0, 0.17825496196746826, 0.12106554210186005, 0.8079671263694763]"
1450,"[0.5885551571846008, 0.20709958672523499, 0.6313619613647461, 1.278405785560608, 0.0, 1.058192253112793, 0.42215266823768616, 0.4328446090221405, 0.1374017298221588, 0.2053631842136383]"
1460,"[0.0, 0.16224363446235657, 0.0, 1.1053600311279297, 0.07264987379312515, 0.0932384580373764, 0.12875553965568542, 0.283301442861557, 0.16810700297355652, 0.859525740146637]"
1470,"[0.18019266426563263, 0.4958976209163666, 0.2047419548034668, 0.4925861060619354, 0.18521757423877716, 0.2660830616950989, 0.1899859458208084, 0.26199689507484436, 0.4048539102077484, 0.7335566878318787]"
1480,"[0.6395533680915833, 0.5828467607498169, 0.37318119406700134, 0.32867759466171265, 0.34453895688056946, 0.6160596609115601, 0.4229082763195038, 0.40001922845840454, 0.5217985510826111, 0.3284812867641449]"
1490,"[0.0, 0.5071588754653931, 0.06825687736272812, 0.7332467436790466, 0.0, 0.2702822983264923, 0.0, 0.0, 0.28438153862953186, 0.5783167481422424]"
1500,"[0.4276498854160309, 0.702031135559082, 0.2792210578918457, 0.3789280652999878, 0.3450184166431427, 0.41686707735061646, 0.5213042497634888, 0.9511415958404541, 0.18919049203395844, 0.41815194487571716]"
