,id,features
19,830,"[0.5202098488807678, 0.10844612866640091, 0.26331430673599243, 0.8233043551445007, 1.1352849006652832, 0.7992357015609741, 0.3192489445209503, 1.0415184497833252, 0.23909321427345276, 1.3578383922576904]"
20,840,"[0.008692778646945953, 1.4721561670303345, 0.4191209673881531, 1.3952136039733887, 0.4154115915298462, 0.6486092805862427, 1.0553691387176514, 1.0503230094909668, 0.5605242252349854, 1.2637414932250977]"
21,850,"[0.3242606520652771, 0.08723118901252747, 0.39250117540359497, 0.5872343182563782, 1.2151676416397095, 0.7843398451805115, 0.7589410543441772, 0.9695659279823303, 1.0118931531906128, 1.0508272647857666]"
22,860,"[0.4435155987739563, 0.49825531244277954, 0.4033566117286682, 0.0, 0.5615292191505432, 0.24793259799480438, 0.0, 0.2565695345401764, 0.42340609431266785, 2.426374673843384]"
23,870,"[0.18182635307312012, 0.24781180918216705, 0.5889162421226501, 0.8133108615875244, 0.0, 0.7531999349594116, 1.6607909202575684, 1.1862694025039673, 0.434928297996521, 0.9839286208152771]"
24,880,"[0.3593495786190033, 0.8490119576454163, 0.221579909324646, 0.704069197177887, 0.29003995656967163, 0.7831186652183533, 0.7743240594863892, 1.6479663848876953, 0.00406849617138505, 1.2509589195251465]"
25,890,"[0.0, 1.6537142992019653, 0.0, 0.47007644176483154, 0.0, 0.38835981488227844, 0.6490079164505005, 0.5809260606765747, 0.267320454120636, 1.7350815534591675]"
26,900,"[0.1535046249628067, 0.30485209822654724, 0.0, 0.7864003777503967, 0.4107981324195862, 1.4547439813613892, 1.200510859489441, 1.0200213193893433, 0.6454296708106995, 0.5274016261100769]"
27,910,"[0.4338187277317047, 0.8831051588058472, 0.6691406965255737, 0.966530442237854, 0.33258166909217834, 1.0255727767944336, 0.6122255325317383, 1.0516756772994995, 0.43248292803764343, 0.7219175100326538]"
28,920,"[0.6423869729042053, 1.3818315267562866, 0.6079959273338318, 0.43751752376556396, 0.4735322892665863, 0.3128848671913147, 0.9492190480232239, 0.9022818207740784, 0.1821153312921524, 1.012843132019043]"
29,930,"[0.37218883633613586, 0.8466652035713196, 0.42946934700012207, 0.411115825176239, 0.5550941824913025, 0.784755527973175, 0.7197192311286926, 0.990052342414856, 0.0, 0.9171617031097412]"
30,940,"[0.38752660155296326, 0.7016932964324951, 0.7253473401069641, 0.06641625612974167, 0.3983219563961029, 0.47960835695266724, 1.4277913570404053, 1.2455906867980957, 0.12799431383609772, 0.9515134692192078]"
31,950,"[0.2399192750453949, 1.2426235675811768, 0.1390785574913025, 0.5689682960510254, 0.34038394689559937, 0.629560112953186, 0.671564519405365, 0.7762569785118103, 0.2101474106311798, 1.1356947422027588]"
32,960,"[0.5534383654594421, 0.3940032124519348, 0.6272371411323547, 0.7398089170455933, 1.0046002864837646, 0.990793764591217, 0.8968651294708252, 1.2820672988891602, 0.1612969934940338, 0.8535584807395935]"
33,970,"[0.3667220175266266, 1.6009879112243652, 0.25407272577285767, 0.9675334692001343, 0.0, 0.61738121509552, 0.9169092774391174, 0.34167203307151794, 0.060576681047677994, 1.1019155979156494]"
34,980,"[0.6231759190559387, 0.7474551796913147, 0.257758229970932, 0.1773025244474411, 0.7366523742675781, 1.0657222270965576, 0.497278094291687, 1.1414881944656372, 0.07613931596279144, 0.8021097183227539]"
35,990,"[0.0, 1.4656120538711548, 0.0876745656132698, 0.4781199097633362, 0.44223180413246155, 0.7777138352394104, 0.06804434210062027, 1.2141146659851074, 0.48990851640701294, 1.0495983362197876]"
36,1000,"[0.2874087691307068, 1.1113520860671997, 0.3674120604991913, 0.7995964288711548, 0.3278781473636627, 0.994526207447052, 0.8422048687934875, 1.0921534299850464, 0.06047169491648674, 1.0702160596847534]"
37,1010,"[0.5151713490486145, 0.4615970253944397, 0.25149133801460266, 0.1623559147119522, 0.4343070089817047, 0.8490238189697266, 0.9658144116401672, 1.059565782546997, 0.0, 0.7524086833000183]"
38,1020,"[0.5528543591499329, 1.2158746719360352, 0.5498078465461731, 0.4562487304210663, 0.7814956307411194, 0.7874838709831238, 0.804105818271637, 1.125476598739624, 0.04698338359594345, 1.2371220588684082]"
39,1030,"[0.5397042036056519, 0.9304051399230957, 0.15106920897960663, 0.5546773076057434, 0.38613417744636536, 0.8098698258399963, 0.3634898364543915, 1.1690236330032349, 0.34280815720558167, 1.5555366277694702]"
40,1040,"[0.4532712697982788, 0.7997564673423767, 0.47921720147132874, 0.751054584980011, 0.5054159164428711, 1.048554539680481, 1.0566792488098145, 1.1762230396270752, 0.3997524678707123, 1.1683001518249512]"
41,1050,"[0.2743892967700958, 0.7171011567115784, 0.38736623525619507, 0.6210427284240723, 0.3711109161376953, 0.5144381523132324, 0.8301247954368591, 1.113740086555481, 0.15726198256015778, 0.94896399974823]"
42,1060,"[0.6942940354347229, 1.7308450937271118, 0.5416826009750366, 0.26592937111854553, 0.2750633955001831, 0.30222421884536743, 0.7114090919494629, 0.189297154545784, 0.3150927424430847, 1.4096298217773438]"
43,1070,"[0.07148095965385437, 2.206186294555664, 0.0, 1.0074665546417236, 0.7643020153045654, 0.058693766593933105, 0.09035838395357132, 0.0, 0.9218631386756897, 1.5476094484329224]"
44,1080,"[0.26041868329048157, 1.8055230379104614, 0.0, 0.6627695560455322, 1.0547561645507812, 0.9547987580299377, 0.8438085317611694, 1.1450536251068115, 0.2239965945482254, 0.6094891428947449]"
45,1090,"[0.5125055909156799, 1.134716272354126, 0.3870386779308319, 0.5574080348014832, 0.25505000352859497, 0.5378592014312744, 0.787837564945221, 0.9277704358100891, 0.07286942005157471, 0.8829712271690369]"
46,1100,"[0.4453871250152588, 0.08730959892272949, 0.4683917760848999, 0.13168549537658691, 0.8003898859024048, 0.41898393630981445, 0.6550604104995728, 1.4208550453186035, 0.2180621176958084, 0.5510103106498718]"
47,1110,"[0.7844378352165222, 1.0735636949539185, 0.9775887131690979, 1.3229459524154663, 0.6752914786338806, 0.8081920742988586, 0.7811189889907837, 1.0745103359222412, 0.24156062304973602, 0.7833974957466125]"
48,1120,"[0.36723437905311584, 0.895108699798584, 0.4324950873851776, 1.0171692371368408, 0.5008014440536499, 0.6818958520889282, 0.8629056215286255, 1.383482813835144, 0.6711946725845337, 1.1449204683303833]"
49,1130,"[0.46145549416542053, 0.6064459681510925, 0.3988473117351532, 0.7144538164138794, 0.42628929018974304, 1.089543342590332, 0.9592474102973938, 1.0346792936325073, 0.16184571385383606, 1.137758731842041]"
50,1140,"[0.21201665699481964, 0.793766975402832, 0.21616989374160767, 0.7775605916976929, 0.9051986336708069, 0.8419670462608337, 0.4510001540184021, 1.358469009399414, 0.0, 0.9578050971031189]"
51,1150,"[0.352505087852478, 0.12124630808830261, 0.25719723105430603, 0.48550212383270264, 0.6654348373413086, 0.9173747301101685, 0.6825412511825562, 1.0257353782653809, 0.45217975974082947, 0.4064086079597473]"
52,1160,"[0.33427053689956665, 0.9349727034568787, 0.35698631405830383, 0.4143374562263489, 0.5003034472465515, 0.48837339878082275, 0.34904348850250244, 0.42272648215293884, 0.09759032726287842, 1.3162175416946411]"
53,1170,"[0.4301113486289978, 0.5778140425682068, 0.44918349385261536, 0.9764341711997986, 0.7465811967849731, 1.2964895963668823, 0.9718688130378723, 0.8781517744064331, 0.22433163225650787, 0.813993513584137]"
54,1180,"[0.36991843581199646, 1.1821907758712769, 0.2238551527261734, 0.6562613248825073, 0.4604157507419586, 1.2325925827026367, 0.8248131275177002, 1.1589586734771729, 0.13820907473564148, 0.8200724720954895]"
55,1190,"[0.3309129774570465, 1.1843225955963135, 0.28998151421546936, 1.1651389598846436, 0.0707167536020279, 1.0480222702026367, 0.46524757146835327, 1.2163158655166626, 0.3360568881034851, 1.0260854959487915]"
56,1200,"[1.3794881105422974, 0.6808717846870422, 0.48145538568496704, 0.18185776472091675, 0.8970749378204346, 0.5010590553283691, 0.5958450436592102, 0.9820958375930786, 0.7163975238800049, 1.2079473733901978]"
57,1210,"[0.31535154581069946, 1.1632959842681885, 0.07554402202367783, 0.6873222589492798, 0.40065300464630127, 0.950508713722229, 0.614051342010498, 1.213775396347046, 0.07471725344657898, 1.0664914846420288]"
58,1220,"[0.011741646565496922, 1.6531316041946411, 0.5786837339401245, 0.6666632294654846, 0.13355936110019684, 0.2753111720085144, 0.560680627822876, 0.5960739254951477, 0.581244945526123, 1.1264710426330566]"
59,1230,"[0.40030959248542786, 1.2511910200119019, 0.20871949195861816, 0.6347699165344238, 0.3252287805080414, 0.6218816637992859, 0.8572379350662231, 1.3357325792312622, 0.41307222843170166, 1.2737131118774414]"
60,1240,"[0.6605895161628723, 1.1901227235794067, 0.0, 0.6369951367378235, 0.28412434458732605, 0.6180669069290161, 1.2623862028121948, 0.4237111508846283, 0.0, 0.7665308117866516]"
61,1250,"[0.8720823526382446, 0.4463333189487457, 0.7009225487709045, 0.6941450834274292, 0.5570881366729736, 0.8720043897628784, 1.004251480102539, 1.4087146520614624, 0.0, 1.0092511177062988]"
62,1260,"[0.5364612340927124, 0.7822301387786865, 0.3715488314628601, 0.6629450917243958, 0.5165264010429382, 0.9002541899681091, 1.0594165325164795, 1.1322914361953735, 0.24508462846279144, 0.9453698992729187]"
63,1270,"[1.1633572578430176, 0.520355761051178, 0.4375709891319275, 0.5862072706222534, 0.5883585214614868, 1.2665188312530518, 1.1058835983276367, 0.7084625363349915, 0.1847553253173828, 0.37853923439979553]"
64,1280,"[0.5092731714248657, 0.9743606448173523, 0.8838615417480469, 0.7232445478439331, 0.3511596620082855, 0.6884278655052185, 1.1529556512832642, 0.7945581674575806, 0.0, 1.448936104774475]"
65,1290,"[0.7622618079185486, 0.9959157705307007, 0.5579013228416443, 1.3062450885772705, 0.31215158104896545, 1.1186290979385376, 0.7416708469390869, 0.8334550857543945, 0.42101529240608215, 1.3870774507522583]"
66,1300,"[0.3475300371646881, 0.8671838641166687, 0.6313403248786926, 0.31397315859794617, 0.6974725127220154, 0.31509292125701904, 0.8244510889053345, 1.4186853170394897, 0.2460840344429016, 1.6230837106704712]"
67,1310,"[0.30432799458503723, 1.115488886833191, 0.8961451053619385, 0.5709261298179626, 0.0, 0.9942664504051208, 1.1382758617401123, 0.681940495967865, 0.01658988744020462, 0.7601104974746704]"
68,1320,"[0.42319825291633606, 0.7180886268615723, 0.5001559853553772, 0.30686137080192566, 0.754815399646759, 1.1073507070541382, 0.9455046653747559, 1.3007797002792358, 0.1783132404088974, 1.0619910955429077]"
69,1330,"[0.5644277930259705, 1.093575119972229, 0.3834652900695801, 0.933215856552124, 0.23110195994377136, 1.2702780961990356, 0.8071315884590149, 1.1863528490066528, 0.3486456871032715, 0.5815779566764832]"
70,1340,"[0.12258882820606232, 0.29125601053237915, 0.0, 0.26978644728660583, 0.06271828711032867, 0.8675887584686279, 0.8673670887947083, 0.7467551231384277, 0.0, 0.9564582705497742]"
71,1350,"[0.0, 1.018563985824585, 0.28777486085891724, 0.9673864841461182, 0.36471864581108093, 0.7153842449188232, 0.8809614777565002, 1.2822768688201904, 0.34372061491012573, 0.728381335735321]"
72,1360,"[0.52676922082901, 0.8638749718666077, 0.37769460678100586, 0.36922919750213623, 0.7059160470962524, 0.6353773474693298, 1.106977105140686, 1.316771149635315, 0.1962001770734787, 0.7785334587097168]"
73,1370,"[0.06757459789514542, 0.6624831557273865, 0.29764267802238464, 0.7080643773078918, 0.4949333071708679, 0.8418875932693481, 0.9201399087905884, 1.07985258102417, 0.0, 1.1701350212097168]"
74,1380,"[0.12730741500854492, 1.5454994440078735, 0.06772548705339432, 0.5092216730117798, 0.28662818670272827, 0.6057954430580139, 0.28373563289642334, 1.1595319509506226, 0.5605462789535522, 0.981584370136261]"
75,1390,"[0.04086889699101448, 1.348369836807251, 0.16801045835018158, 0.9307572245597839, 0.2549925446510315, 1.1418683528900146, 0.8693180084228516, 0.7508494853973389, 0.08798950910568237, 1.2667031288146973]"
76,1400,"[0.4727689325809479, 1.0690193176269531, 0.5225955843925476, 0.7073412537574768, 0.20116642117500305, 1.163426399230957, 1.1417522430419922, 0.982225239276886, 0.0, 0.7391841411590576]"
77,1410,"[0.7586758136749268, 1.2801094055175781, 0.20373070240020752, 0.6799367666244507, 0.9580702781677246, 1.0488686561584473, 0.2968122959136963, 1.0199099779129028, 0.7810664772987366, 1.5005438327789307]"
78,1420,"[0.47017109394073486, 0.7593101859092712, 0.28775084018707275, 0.3790390193462372, 0.3720182776451111, 0.9558122754096985, 0.7825757265090942, 1.330071210861206, 0.12660235166549683, 1.1095991134643555]"
79,1430,"[0.5320715308189392, 0.8420891165733337, 0.3587789833545685, 0.3511680066585541, 0.4688621461391449, 0.7964849472045898, 1.0390186309814453, 1.5386168956756592, 0.4061262905597687, 0.9885823726654053]"
80,1440,"[0.4312373399734497, 0.3987870514392853, 0.4526124894618988, 0.0, 1.2788711786270142, 0.824846625328064, 0.7951026558876038, 1.0725525617599487, 0.048530250787734985, 0.7593233585357666]"
81,1450,"[0.6230097413063049, 0.5530612468719482, 0.5129212141036987, 1.146728754043579, 0.511179506778717, 0.827157199382782, 0.7511311769485474, 0.7149810194969177, 0.0, 0.6634374856948853]"
82,1460,"[0.0, 1.9983171224594116, 0.0, 0.26062512397766113, 0.0, 0.6851545572280884, 0.25458189845085144, 0.3046993017196655, 0.27460169792175293, 1.1628907918930054]"
83,1470,"[0.0, 1.6505712270736694, 0.2422749549150467, 0.61058109998703, 0.13186009228229523, 0.34790563583374023, 1.0038257837295532, 0.5783664584159851, 0.21815624833106995, 0.8462538123130798]"
84,1480,"[1.074899435043335, 0.44285160303115845, 0.33985263109207153, 0.36917003989219666, 0.7301992177963257, 0.5694476366043091, 0.9298192858695984, 1.2797378301620483, 0.32610177993774414, 1.1024292707443237]"
85,1490,"[0.5895867943763733, 1.2920843362808228, 0.42292264103889465, 0.7601144909858704, 0.4500683546066284, 1.1886268854141235, 0.7109827995300293, 0.8119759559631348, 0.39213722944259644, 1.2416127920150757]"
86,1500,"[0.5911132097244263, 0.7277742624282837, 0.6893683671951294, 0.7858157753944397, 0.671690821647644, 0.4725077748298645, 1.3210164308547974, 1.1535587310791016, 0.05272922292351723, 1.0825185775756836]"
87,1510,"[0.7136379480361938, 0.9171976447105408, 0.46776798367500305, 0.9710993766784668, 0.6836782097816467, 1.1841635704040527, 1.0421596765518188, 0.31005722284317017, 0.14878980815410614, 1.1807332038879395]"
88,1520,"[0.5444405674934387, 1.2542784214019775, 0.0, 1.3945409059524536, 0.0, 1.3801175355911255, 1.0220526456832886, 0.545573353767395, 0.2703652083873749, 0.9101220369338989]"
89,1530,"[0.3545719385147095, 0.6732544302940369, 0.388642817735672, 0.6146663427352905, 0.4462982416152954, 0.8597533106803894, 0.9097869992256165, 1.3847373723983765, 0.26652076840400696, 1.29036545753479]"
90,1540,"[0.327299565076828, 1.0734046697616577, 0.42242294549942017, 0.5353178977966309, 0.5390667915344238, 0.9120154976844788, 0.5396678447723389, 1.1376882791519165, 0.3950120806694031, 1.0410475730895996]"
91,1550,"[0.7895835638046265, 0.5845238566398621, 0.5877313613891602, 0.4644312560558319, 0.46535229682922363, 0.7781689763069153, 1.224719762802124, 1.2317070960998535, 0.0, 0.5752841830253601]"
92,1560,"[0.21166911721229553, 0.4942884147167206, 0.13292774558067322, 0.9239537119865417, 0.8362326622009277, 0.6407469511032104, 1.284317970275879, 1.2462257146835327, 0.3633236289024353, 1.2125283479690552]"
93,1570,"[0.22598546743392944, 0.5377113819122314, 0.20591813325881958, 0.33525994420051575, 0.6595451235771179, 1.1436313390731812, 0.8265783190727234, 1.28347909450531, 0.0, 0.7332229614257812]"
94,1580,"[0.6726899743080139, 0.7980834245681763, 0.1712786704301834, 0.5298828482627869, 0.8124406933784485, 0.5707124471664429, 0.4977897107601166, 1.166190505027771, 0.16562779247760773, 0.927074670791626]"
95,1590,"[0.28522247076034546, 0.9438385963439941, 0.15502242743968964, 0.0, 0.26927652955055237, 1.2290273904800415, 1.2710422277450562, 0.9148522615432739, 0.0, 1.4095062017440796]"
96,1600,"[0.12890711426734924, 1.1145637035369873, 0.1873481124639511, 0.8724175691604614, 0.41656631231307983, 1.0130635499954224, 0.7163236737251282, 1.1510332822799683, 0.03658703342080116, 0.9725838303565979]"
97,1610,"[0.6022593975067139, 1.3413139581680298, 0.7853560447692871, 0.4309529960155487, 0.28408196568489075, 0.28594401478767395, 0.8306075930595398, 0.8251932859420776, 0.1601889431476593, 1.5046886205673218]"
98,1620,"[0.2639806568622589, 0.8078639507293701, 0.34812861680984497, 0.4410018026828766, 0.43992850184440613, 0.7773887515068054, 1.3451305627822876, 1.4344977140426636, 0.2160349041223526, 0.8371260762214661]"
99,1630,"[0.618914783000946, 0.6619717478752136, 0.2634131908416748, 0.6150370836257935, 0.3197721540927887, 0.8556029796600342, 0.6805854439735413, 0.8938190937042236, 0.0, 0.5755430459976196]"
100,1640,"[0.30744630098342896, 1.0306204557418823, 0.310691237449646, 0.3248942196369171, 0.13139496743679047, 0.6602152585983276, 0.565001368522644, 0.8413978815078735, 0.0, 0.8578169345855713]"
101,1650,"[0.24825862050056458, 0.8485236763954163, 0.12912049889564514, 0.6892958879470825, 0.3811403512954712, 0.7440513372421265, 0.7958353757858276, 1.2431236505508423, 0.0, 1.115847110748291]"
102,1660,"[0.80992591381073, 0.4698423743247986, 0.7850759029388428, 0.8716558814048767, 0.5647026300430298, 0.6004282236099243, 0.8353209495544434, 1.329986572265625, 0.5966829061508179, 0.7360077500343323]"
103,1670,"[0.7733942270278931, 0.8285914659500122, 0.7000863552093506, 1.3994873762130737, 0.49574410915374756, 0.9522972702980042, 0.9419887661933899, 1.422830581665039, 0.3863537311553955, 0.913905143737793]"
104,1680,"[0.5515039563179016, 0.4153551161289215, 0.7548841834068298, 0.8744354248046875, 0.5228608250617981, 0.7623609304428101, 0.33549824357032776, 1.1874088048934937, 0.8011842966079712, 1.5634267330169678]"
105,1690,"[0.4282962381839752, 1.2364375591278076, 0.4065439701080322, 0.9164775609970093, 0.44313788414001465, 0.8290127515792847, 0.7215343117713928, 0.8509438037872314, 0.24530255794525146, 1.003769040107727]"
106,1700,"[0.36137741804122925, 1.3557761907577515, 0.04089244827628136, 0.5424924492835999, 0.5815128684043884, 0.3228190243244171, 0.0, 1.6402828693389893, 0.7815333008766174, 1.1716288328170776]"
107,1710,"[0.4256022274494171, 0.6394044160842896, 0.6121991872787476, 0.7561430931091309, 0.7212634086608887, 0.5229540467262268, 0.7560582160949707, 1.6980060338974, 0.0593559555709362, 1.0743564367294312]"
108,1720,"[0.5676217079162598, 0.9939170479774475, 0.5396925210952759, 0.6285059452056885, 0.6952791213989258, 0.8027054667472839, 1.036756157875061, 0.8479053974151611, 0.16167490184307098, 1.3563073873519897]"
109,1730,"[0.7651480436325073, 1.231215238571167, 0.5458893179893494, 0.5081915259361267, 0.32773515582084656, 0.1708114892244339, 0.7780197858810425, 0.671802282333374, 0.5729213356971741, 1.4298245906829834]"
110,1740,"[0.7530276775360107, 0.30025193095207214, 0.607349157333374, 0.5689423680305481, 0.7971967458724976, 1.2315998077392578, 0.8128023743629456, 1.0024992227554321, 0.3131551742553711, 0.9695271253585815]"
111,1750,"[1.1219675540924072, 0.47429949045181274, 0.5623435974121094, 0.44078636169433594, 0.2168554812669754, 1.4183847904205322, 0.0, 1.131257176399231, 1.060459852218628, 0.44381433725357056]"
112,1760,"[0.3401833176612854, 1.1556845903396606, 0.5528349876403809, 1.2217298746109009, 0.5613340139389038, 0.6638517379760742, 0.7943890690803528, 0.7880640625953674, 0.0, 1.0151335000991821]"
113,1770,"[0.4708705544471741, 0.8897040486335754, 0.3817403316497803, 0.7408043146133423, 0.23752166330814362, 0.6641733050346375, 0.6975433230400085, 1.0180503129959106, 0.40518254041671753, 1.1352465152740479]"
114,1780,"[0.2852237820625305, 0.8165691494941711, 0.27286919951438904, 0.6533644795417786, 0.575042188167572, 1.0110981464385986, 0.48197656869888306, 0.6995155811309814, 0.010511455126106739, 0.8742796182632446]"
115,1790,"[0.337360143661499, 1.58699369430542, 0.29154789447784424, 0.0, 0.326310396194458, 0.1595531702041626, 0.6372279524803162, 1.0043394565582275, 0.4845867455005646, 1.8724652528762817]"
116,1800,"[0.5230803489685059, 0.8936391472816467, 0.4914816915988922, 0.1470147669315338, 0.5334241986274719, 0.9129029512405396, 1.170370101928711, 1.272486925125122, 0.10156717896461487, 1.1737375259399414]"
117,1810,"[0.8175044655799866, 0.5256723761558533, 0.16744957864284515, 0.5322890877723694, 1.231642723083496, 1.2096422910690308, 0.6641708612442017, 0.9663730263710022, 0.626197099685669, 0.5345040559768677]"
118,1820,"[0.2560748755931854, 0.9336585402488708, 0.12907660007476807, 0.5410138964653015, 0.42659011483192444, 0.9626308679580688, 0.9080725312232971, 0.8617328405380249, 0.0, 1.5701695680618286]"
119,1830,"[0.2853867709636688, 1.5513719320297241, 0.0505235381424427, 0.17613190412521362, 0.18780778348445892, 0.9032474756240845, 0.5305678844451904, 0.870156466960907, 0.0, 1.426236867904663]"
120,1840,"[1.0724438428878784, 0.6973779797554016, 0.0, 0.2575218081474304, 0.6399921178817749, 0.6646735072135925, 0.7309547662734985, 1.322227954864502, 0.32621777057647705, 1.1692286729812622]"
121,1850,"[0.44536730647087097, 1.3657362461090088, 0.07744039595127106, 0.821952223777771, 0.45631566643714905, 0.583358645439148, 1.153342604637146, 0.9992258548736572, 0.15910188853740692, 0.8878252506256104]"
122,1860,"[0.28528717160224915, 1.251523494720459, 0.19680006802082062, 0.40557053685188293, 0.4111810326576233, 0.9806989431381226, 0.7019728422164917, 0.7109627723693848, 0.0, 0.9675000309944153]"
123,1870,"[0.25987449288368225, 1.5281404256820679, 0.2658812999725342, 0.9784395694732666, 0.20134058594703674, 1.1095529794692993, 0.6115229725837708, 0.7712818384170532, 0.02218511514365673, 0.9025911688804626]"
124,1880,"[0.436478853225708, 0.8383499979972839, 0.30185484886169434, 0.6738830804824829, 0.5934245586395264, 0.8770676851272583, 0.735883891582489, 1.0984511375427246, 0.24076105654239655, 1.024918556213379]"
125,1890,"[0.46786388754844666, 0.8927645087242126, 0.4687269628047943, 0.3103366792201996, 0.5472230315208435, 1.0332177877426147, 0.8349613547325134, 1.1334471702575684, 0.13672083616256714, 0.5002958178520203]"
126,1900,"[0.5837928056716919, 0.6132544875144958, 0.6150736808776855, 1.2211949825286865, 0.6710959076881409, 0.9214606881141663, 0.4874289631843567, 1.0120878219604492, 0.5061280131340027, 0.9227334856987]"
127,1910,"[0.44547632336616516, 1.2108128070831299, 1.0782625675201416, 1.0558099746704102, 0.46257510781288147, 0.0, 0.9142068028450012, 0.47106701135635376, 0.7641535997390747, 1.2859286069869995]"
128,1920,"[0.4662276804447174, 1.3556495904922485, 0.3496730625629425, 1.0226572751998901, 0.15203294157981873, 0.9485013484954834, 0.28595057129859924, 0.5776215195655823, 0.23936592042446136, 0.9232372641563416]"
129,1930,"[0.5642960071563721, 1.239560842514038, 0.4803009033203125, 0.5357905626296997, 0.7126712203025818, 0.5105205178260803, 0.8887966871261597, 1.211087703704834, 0.38353797793388367, 0.8490464091300964]"
130,1940,"[0.783488929271698, 0.9157814383506775, 0.6497220993041992, 0.7449272871017456, 0.6735712885856628, 0.7519633173942566, 0.6758086085319519, 1.5353463888168335, 0.3991016745567322, 1.2803707122802734]"
131,1950,"[0.6062231063842773, 0.7270254492759705, 0.5518056154251099, 0.9742365479469299, 0.8031692504882812, 0.7488122582435608, 0.7618088126182556, 1.2884275913238525, 0.32032859325408936, 0.8021100759506226]"
132,1960,"[0.4696885049343109, 0.3370453715324402, 0.6533510684967041, 0.8755054473876953, 0.0419108048081398, 1.2275519371032715, 0.8614187836647034, 1.136965274810791, 0.3750293254852295, 0.9906115531921387]"
